Categorie	Modele
S/REMOCI Trall	s/remorca trall Schmitz (BLB 710)
Tehnica specializata	Autogudronator ZIL 130 (19L, 9L rozliv,5L GPL)
Tehnica specializata	GAZ Smeli 10A (Marcaj) /CSK 752/
Tehnica specializata	Renault Magnium Special (Tratament)
Tehnica specializata	Volvo Fm- 9380 (Tratament)
Tractoare	Belarus MTЗ-82.1  (7L)
Tractoare	Buldozer DZ42 (8,5L)
Tractoare	Landini (9L)
Tractoare	Buldozer T130
м. механизация	малая механизация
м. механизация	Ciocan pneumatic manual Sullair 03
м. механизация	Ciocan pneumatic МОП-3
м. механизация	Ciocan rotopercutor
м. механизация	Compactor neautopropulsant Wacker nr.2
м. механизация	Masina de taiat asfalt PP450-PG420
м. механизация	Masina de taiat asfalt Wacker
м. механизация	Masina de taiat beton PPR350
м. механизация	Masina sub presiune inalta Karcher
м. механизация	Placa compactoare masalta MS90-3 628
м. механизация	Placa compactoare Mikasa T6124
м. механизация	Aparat de sudat
м. механизация	Placa compactoare N15105
м. механизация	Placa compactoare PC90
м. механизация	Placa compactoare PCR-160-SE
м. механизация	Placa compactoare Robin
м. механизация	Placa compactoare WACKER 6595937
м. механизация	Компрессор M26 KAESER
м. механизация	Вибротрамбовка Wacker
м. механизация	Вибротрамбовка Wacker
м. механизация	Виброплита MS90-3 628
м. механизация	Виброплита Robin
м. механизация	Arzator Rielo RS-38 430kwt
м. механизация	Воздуходувка Husqvarna 130BT
м. механизация	Воздуходувка Husqvarna 130BT
м. механизация	Воздуходувка Husqvarna 130BT
м. механизация	Асфальторез ORCA350\450
м. механизация	Асфальторез (ручной) BTS1035
м. механизация	Асфальторез (ручной) PPR350
м. механизация	Vibroplita Mikasa T6124
м. механизация	Vibroplita N15105
м. механизация	Vibroplita PC90
м. механизация	Vibroplita PCR-160-SE
м. механизация	Arzator Weishaupt G3 1E/ZD, 630kwt
м. механизация	Masina de taiat asfalt PP450-PG420
м. механизация	Masina de taiat asfalt Wacker
м. механизация	Masina de gaurit
м. механизация	Masina de frezat (3buc)
м. механизация	Compresor Kaeser OF500
м. механизация	Asfaltorez ORKA 350/450
м. механизация	Benzorez TS 500i-A
м. механизация	Benzorez TS 500i-A
м. механизация	Ciocan pneumatic manual Sullair 01
м. механизация	Ciocan pneumatic manual Sullair 02
